test,predict
3.594333333,3.6386833
3.756555556,3.5354326
3.578666667,3.503294
3.8262222219999997,3.6025872
3.568,3.7068226
3.4548888889999994,3.453252
3.328888889,3.388019
3.435555556,3.4520464
3.204111111,3.3318696
3.068444444,3.3547494
3.132333333,3.335679
3.177444444,3.24666
3.168111111,3.2700028
3.5284444439999993,3.2201002
3.7358888889999995,3.2506301
3.756444444,3.4297068
3.478,3.2502468
3.491555556,3.2472327
2.904555556,3.1365259
2.812444444,3.09736
2.623222222,2.9876926
2.786333333,3.110809
2.687777778,3.0439763
