test,predict
4.449555556,3.566242
4.023333333,3.5621312
3.948444444,3.4732869
3.3478888890000005,3.2905316
3.348,3.3301737
3.424,3.2922919
3.420888889,3.2382565
3.226666667,3.0942073
3.051333333,3.1339247
3.029444444,3.0722182
3.196555556,3.0296316
3.096888889,2.8972886
3.162777778,2.880903
3.1025555559999995,2.9225867
3.053555556,3.028985
3.005888889,3.2118654
3.043444444,3.3254056
3.149888889,3.3191538
3.121888889,3.1617644
3.016777778,3.204449
3.085555556,3.2664819
3.0960000000000005,3.1753457
2.971333333,3.008309
