test,predict
3.6432222219999995,3.6162176
3.383777778,3.6209774
3.339777778,3.6257403
4.044,3.6151788
3.680888889,3.4778526
3.424777778,3.2239738
3.466111111,3.1576722
3.470333333,2.9799914
3.522222222,3.0418837
3.398666667,3.1661808
3.265777778,3.3355296
3.177222222,3.3045423
3.268555556,3.1874368
3.263222222,3.05948
3.061888889,3.045165
3.212666667,3.239437
3.219111111,3.2252176
3.1401111110000004,3.1457052
3.081222222,3.0255592
3.1951111110000006,2.9911418
3.164777778,2.8984613
3.287888889,2.9166155
3.361111111,2.8900986
