test,predict
3.546444444,3.7109509
3.666222222,3.7113008
3.271777778,3.6271186
3.419888889,3.5292053
3.2675555560000005,3.5601692
3.297333333,3.6400502
3.220222222,3.5680046
3.066444444,3.4636784
3.261555556,3.3014727
3.442888889,3.2761483
3.465555556,3.279203
3.334333333,3.2244182
3.401333333,3.1115203
3.192333333,3.1315322
3.067,2.9889126
2.997222222,2.8905568
2.784222222,2.8589196
2.89,2.8983655
2.818777778,2.979497
2.868555556,2.955148
2.731222222,2.9389398
2.762777778,2.925675
2.698666667,2.922412
