test,predict
3.546444444,3.7991168
3.666222222,3.785808
3.271777778,3.6930747
3.419888889,3.6612248
3.2675555560000005,3.705307
3.297333333,3.5599923
3.220222222,3.553092
3.066444444,3.4421222
3.261555556,3.2298405
3.442888889,3.279818
3.465555556,3.244793
3.334333333,3.2226748
3.401333333,3.1289995
3.192333333,3.092189
3.067,2.9567094
2.997222222,2.8638942
2.784222222,2.8560934
2.89,2.8783836
2.818777778,2.9699647
2.868555556,2.999547
2.731222222,2.9816015
2.762777778,2.9772823
2.698666667,2.998897
