test,predict
3.546444444,3.6134508
3.666222222,3.5869343
3.271777778,3.3936567
3.419888889,3.5487173
3.2675555560000005,3.5144794
3.297333333,3.3859308
3.220222222,3.372586
3.066444444,3.1716628
3.261555556,3.0691981
3.442888889,3.1114569
3.465555556,3.117516
3.334333333,3.1365147
3.401333333,3.0746343
3.192333333,3.010894
3.067,2.9179928
2.997222222,2.8451607
2.784222222,2.8225057
2.89,2.8201504
2.818777778,2.9128444
2.868555556,2.9796462
2.731222222,2.9569397
2.762777778,2.9369519
2.698666667,2.9589267
