test,predict
3.594333333,3.7636309
3.756555556,3.68541
3.578666667,3.4965978
3.8262222219999997,3.3714232
3.568,3.4046488
3.4548888889999994,3.2519593
3.328888889,3.1941214
3.435555556,3.225738
3.204111111,3.1667485
3.068444444,3.3197055
3.132333333,3.3409517
3.177444444,3.1935298
3.168111111,3.2080755
3.5284444439999993,3.125717
3.7358888889999995,3.1356106
3.756444444,3.3703296
3.478,3.1703477
3.491555556,3.1594152
2.904555556,3.0644836
2.812444444,3.038935
2.623222222,2.972668
2.786333333,3.0551822
2.687777778,2.9909797
