test,predict
4.222,3.5754554
4.002444444,3.4536963
3.968111111,3.5396154
3.682666667,3.2304604
3.523333333,3.2881346
3.397777778,3.0940697
3.394666667,3.0402555
3.356888889,3.0264633
3.368555556,3.0037599
3.2877499999999995,3.0431778
3.325333333,3.0712268
3.407888889,3.1409273
3.1891111109999994,3.1153274
3.146,3.1578016
3.026111111,3.133066
3.017888889,3.071059
2.975,3.0209012
3.088555556,3.0328608
2.954666667,3.091403
3.045555556,3.0724287
2.923111111,3.2300403
2.993111111,3.2040408
2.979,3.1580725
