test,predict
3.734555556,3.7326655
3.671111111,3.7474422
3.699111111,3.7188873
3.3363333330000002,3.642073
3.146777778,3.4717124
3.118444444,3.1433446
3.182444444,3.074936
3.117555556,3.1119878
3.013111111,3.1613867
2.955,3.2325287
3.040888889,3.0951397
2.963111111,3.0412023
3.143555556,3.0359037
3.1022222219999995,3.131946
3.076444444,3.2279902
3.000555556,3.2246168
2.923888889,3.1120102
3.022666667,3.1194081
3.02,3.1455314
3.118222222,3.2688432
3.019666667,3.0000086
3.158,2.9837685
3.036444444,2.9393752
