test,predict
3.734555556,3.6224425
3.671111111,3.736704
3.699111111,3.7368271
3.3363333330000002,3.6112506
3.146777778,3.4431472
3.118444444,3.106681
3.182444444,3.0116928
3.117555556,2.9958885
3.013111111,3.106542
2.955,3.1783702
3.040888889,3.0074823
2.963111111,2.993007
3.143555556,2.9367154
3.1022222219999995,3.0027375
3.076444444,3.2033026
3.000555556,3.1897569
2.923888889,3.1156328
3.022666667,3.1093228
3.02,3.033627
3.118222222,3.0533514
3.019666667,2.9211109
3.158,2.8951323
3.036444444,2.8541913
