kf, mse, mae, mape, r2
1,0.09202707482365778,0.27507671523014493,0.08550395357746565,0.4204187053606858
1,0.1152119245431608,0.29455971025048294,0.09325522520175297,0.2744018375834969
1,0.06831660592113506,0.22280679139938223,0.06870080119637519,0.5697458929232808
1,0.09767403042795456,0.27170915270028023,0.08480189554754684,0.38485449943345706
1,0.08457111224365312,0.2475109008414041,0.07597594001494487,0.467375934558527
2,0.03539040352741634,0.16706093728603197,0.052993730093153404,0.5490530049676043
2,0.07314483272020843,0.22843953072817066,0.07334459219623059,0.06798342969520654
2,0.04862104059191675,0.1914915018632282,0.06212466011787113,0.380467302858311
2,0.04300987565795241,0.17467895810299022,0.05555841537165697,0.45196515858753883
2,0.05537060910043166,0.20512752078213636,0.06515506019457269,0.2944638292239349
3,0.06826523587227137,0.20868677726578416,0.0610128585882383,-0.43704155579195825
3,0.05588377540801711,0.1760336516713867,0.0517747664150108,-0.1764012316038197
3,0.05591787639049208,0.1871215334475787,0.05517152445044907,-0.17711908642822194
3,0.059773479066777775,0.1951470464772896,0.05765164650978351,-0.2582828178304273
3,0.0698188891103593,0.20088457578874938,0.058270361385247056,-0.4697472842333066
4,0.0681714840310984,0.21936001975451122,0.06749123961501102,0.4585799967674066
4,0.0750882473720135,0.2338389959667703,0.07091415542645467,0.40364685157301705
4,0.057968530236631635,0.20537064388213308,0.06406545512944736,0.5396121666679801
4,0.06327463145615723,0.2116076256472167,0.06605578337085205,0.49747094911552825
4,0.06810192322911589,0.22364704269247304,0.06831204046418919,0.4591324507761393
5,0.023121130839467586,0.12192523661836567,0.039039148679952354,0.5570284081682464
5,0.047183662861137246,0.1759221859943529,0.055806740196800694,0.09602076165007978
5,0.02324084524606978,0.12129352449669877,0.03913234406175183,0.5547348317153489
5,0.0237734371228846,0.12565442852150555,0.03987209059056825,0.5445310457021404
5,0.02398727832572768,0.13017188925005302,0.04158317017515798,0.5404341190128574
6,0.06820738122689247,0.21012305935770845,0.06067555181501066,0.45588664896788744
6,0.05118315849096226,0.19937896243452788,0.05863182486032837,0.5916946321354314
6,0.04374229398483898,0.17836520166183867,0.05226392801795117,0.6510529251555768
6,0.08295131708976675,0.23425175325443692,0.06784980728864125,0.3382692854883461
6,0.08841566507502722,0.24513136315022602,0.07049669610439295,0.2946783333071562
7,0.1055253053866298,0.20630074868909756,0.056833096676789416,0.2122425103224468
7,0.07279464132930043,0.1778278530267228,0.0497023963184324,0.4565803557218304
7,0.11899004769576517,0.21059815362884254,0.05748374999104383,0.1117267945731556
7,0.07422466589896069,0.19573726649016535,0.05602101057623828,0.4459050720915637
7,0.11282525055682097,0.22248481535009237,0.06258159261962624,0.15774765280003322
8,0.03261704555784974,0.14972437126782231,0.04512309091407506,0.5996146309216615
8,0.045254168119828436,0.1782999002031622,0.05380813795088293,0.4444896373935966
8,0.03618405755964493,0.1588383095619905,0.04791507746667067,0.5558283408877402
8,0.0555374801485238,0.19423484764458443,0.057739349494384744,0.3182584717089404
8,0.03778870880561932,0.16164949757942534,0.04850549351811842,0.5361306990451654
