test,predict
3.546444444,3.6982818
3.666222222,3.7458398
3.271777778,3.5216496
3.419888889,3.6062124
3.2675555560000005,3.4955254
3.297333333,3.3749466
3.220222222,3.3524537
3.066444444,3.2031178
3.261555556,3.144904
3.442888889,3.1916575
3.465555556,3.214409
3.334333333,3.1211176
3.401333333,3.0402155
3.192333333,3.0560644
3.067,3.0318146
2.997222222,2.9674103
2.784222222,2.9155757
2.89,2.8340952
2.818777778,3.0213263
2.868555556,3.0774498
2.731222222,3.135985
2.762777778,3.1596162
2.698666667,3.0659015
